Month,Service Type,CBD Relation,Day Type,Time Period,Trips
11/01/2019,green,CBD-Null,2,Peak,1
11/01/2019,green,Leaving CBD,2,Overnight,69
11/01/2019,green,Entering CBD,2,Peak,5690
11/01/2019,green,Leaving CBD,1,Overnight,56
11/01/2019,green,Entering CBD,1,Peak,19740
11/01/2019,fhv,CBD-Null,2,Peak,5357
11/01/2019,green,Entering CBD,2,Overnight,3715
11/01/2019,fhv,Within CBD,2,Peak,766
11/01/2019,fhv,Leaving CBD,2,Peak,2968
11/01/2019,green,Entering CBD,1,Overnight,3483
11/01/2019,green,Leaving CBD,1,Peak,2472
11/01/2019,green,CBD-Null,1,Peak,7
11/01/2019,green,Within CBD,1,Overnight,10
11/01/2019,fhv,Within CBD,1,Peak,7126
11/01/2019,fhv,Within CBD,2,Overnight,406
11/01/2019,fhv,Entering CBD,1,Peak,17282
11/01/2019,fhv,CBD-Null,1,Peak,36935
11/01/2019,fhv,Within CBD,1,Overnight,1982
12/01/2019,fhvhv,Leaving CBD,1,Overnight,663542
12/01/2019,fhvhv,Leaving CBD,2,Peak,370495
12/01/2019,fhvhv,Within CBD,1,Overnight,620085
12/01/2019,fhvhv,Leaving CBD,1,Peak,1041605
12/01/2019,fhvhv,Entering CBD,2,Overnight,211487
12/01/2019,fhvhv,Within CBD,2,Overnight,414561
12/01/2019,fhvhv,Entering CBD,1,Overnight,245064
12/01/2019,fhvhv,Within CBD,1,Peak,1984920
12/01/2019,fhvhv,Within CBD,2,Peak,749575
12/01/2019,fhvhv,Leaving CBD,2,Overnight,409334
12/01/2019,fhvhv,Entering CBD,1,Peak,990455
12/01/2019,fhvhv,Entering CBD,2,Peak,375395
12/01/2019,yellow,CBD-Null,2,Peak,3184
12/01/2019,yellow,Leaving CBD,1,Peak,537233
12/01/2019,yellow,Within CBD,2,Overnight,314501
12/01/2019,yellow,Leaving CBD,2,Peak,171583
12/01/2019,yellow,Leaving CBD,1,Overnight,262503
12/01/2019,yellow,Entering CBD,2,Overnight,52635
12/01/2019,yellow,CBD-Null,2,Overnight,1739
12/01/2019,yellow,Entering CBD,2,Peak,158959
12/01/2019,yellow,Entering CBD,1,Overnight,91288
12/01/2019,yellow,Leaving CBD,2,Overnight,141394
12/01/2019,yellow,CBD-Null,1,Peak,9969
12/01/2019,yellow,Entering CBD,1,Peak,519056
12/01/2019,yellow,CBD-Null,1,Overnight,2574
12/01/2019,yellow,Within CBD,2,Peak,563240
12/01/2019,yellow,Within CBD,1,Overnight,488030
12/01/2019,yellow,Within CBD,1,Peak,1658540
12/01/2019,green,Entering CBD,2,Peak,5469
12/01/2019,green,Within CBD,2,Overnight,9
12/01/2019,fhv,Within CBD,2,Overnight,421
12/01/2019,fhv,Within CBD,1,Overnight,2017
12/01/2019,fhv,Entering CBD,1,Peak,18355
12/01/2019,fhv,Leaving CBD,1,Peak,26230
12/01/2019,fhv,Entering CBD,1,Overnight,2412
12/01/2019,green,Within CBD,1,Peak,338
12/01/2019,green,Entering CBD,1,Peak,19000
12/01/2019,fhv,CBD-Null,1,Peak,38895
12/01/2019,fhv,Leaving CBD,2,Peak,3275
12/01/2019,fhv,CBD-Null,2,Overnight,3116
12/01/2019,green,Leaving CBD,2,Overnight,60
12/01/2019,fhv,Entering CBD,2,Peak,2555
12/01/2019,green,Leaving CBD,2,Peak,367
